Id,SalePrice
1461,114601.7994805985
1462,138933.58428814384
1463,215986.82320673874
1464,215642.68689392833
1465,184160.98882688524
1466,214723.7113855523
1467,170156.1149884208
1468,201265.08011150436
1469,191572.51809656233
1470,117570.05246383257
1471,198949.0475929437
1472,127673.02590432706
1473,122679.55313345596
1474,162485.87132671414
1475,114551.73058875994
1476,314051.20305474434
1477,226512.1146006703
1478,234474.17110494804
1479,253090.06903667643
1480,341878.5171794811
1481,284517.354491628
1482,216155.50650246313
1483,200445.284526747
1484,191776.4793110586
1485,204091.32415894972
1486,234167.26002969098
1487,284549.4299182645
1488,238108.61626779757
1489,199024.24600835517
1490,226808.832048199
1491,234214.06412435204
1492,87530.10205823075
1493,193294.9544887215
1494,271676.00394354993
1495,248915.45307313924
1496,223435.64548851628
1497,226969.7254033509
1498,185792.2289321425
1499,185738.97510350612
1500,189896.39134239798
1501,214394.5716440177
1502,172573.5822798248
1503,249505.0954796489
1504,239067.93400758054
1505,204131.38677448026
1506,183708.19689731146
1507,283561.3402913102
1508,224895.13017669995
1509,166305.22407992324
1510,136010.14432623587
1511,134081.19685347515
1512,163546.37543811195
1513,194233.11262530703
1514,159326.59283122933
1515,263205.2399257575
1516,152096.08926579874
1517,162908.86749076034
1518,149506.18700636152
1519,211660.40297898964
1520,117643.9193418895
1521,125734.04953243537
1522,160459.51349399996
1523,128127.16343767443
1524,114346.82045822166
1525,94464.84772100844
1526,121117.98918843312
1527,100464.77802958623
1528,134415.44412501267
1529,121576.20394715967
1530,181554.5254298916
1531,146854.3734924108
1532,76094.73322784941
1533,132593.3980266086
1534,130818.48706878716
1535,187153.92706929156
1536,99182.28516093084
1537,82423.85391119236
1538,139571.64629756904
1539,197215.47186008777
1540,188590.26984097052
1541,158566.0475692209
1542,176039.53207578114
1543,207542.21178153783
1544,59838.646708053144
1545,110265.61197648343
1546,102165.68272950896
1547,132566.1825408238
1548,129010.1640092195
1549,114054.13685023939
1550,111920.59768732998
1551,92143.30120479145
1552,150865.10150552238
1553,153701.81181590082
1554,117528.63780293491
1555,182308.98534681046
1556,91014.38782161055
1557,104752.69256480873
1558,71690.84203313834
1559,127406.91502884171
1560,148611.1302033362
1561,184245.62990795693
1562,118528.92998644298
1563,112922.90142826084
1564,158179.83793044768
1565,144532.33939527383
1566,223242.57112459553
1567,63930.54635072195
1568,223872.14392910924
1569,158668.4539916782
1570,120623.16741975406
1571,130399.18595776055
1572,132338.73870770764
1573,256607.10232213096
1574,136682.69149752677
1575,212858.24255269388
1576,234345.32547911964
1577,207363.21982286358
1578,122679.55860972362
1579,159982.90156997522
1580,227013.03635030903
1581,143574.6668402551
1582,103860.11305626977
1583,261831.85437296284
1584,249959.90883994807
1585,171561.83881588065
1586,98310.71030652343
1587,97801.78143091509
1588,135463.62815418112
1589,120634.1325090895
1590,127410.81419635667
1591,93472.98053322779
1592,137175.6628848929
1593,81401.22335402781
1594,228747.27938885256
1595,147077.48755889444
1596,201324.07949998297
1597,213160.67883972137
1598,224907.35692060165
1599,171231.98977837074
1600,171143.98949035356
1601,72568.89375346933
1602,108855.93592287367
1603,43481.70983124344
1604,233174.30130030605
1605,250765.7727932319
1606,154738.74052983316
1607,202537.73627065978
1608,200964.9426369116
1609,207807.9696766272
1610,210865.85846524686
1611,171768.51870481673
1612,207302.34163985844
1613,193884.4736969584
1614,126777.1963432868
1615,116924.64117007595
1616,117264.94461708645
1617,119750.14325822379
1618,118016.50733756296
1619,138346.00667640468
1620,269994.2899652061
1621,171839.84219981445
1622,134011.12485788928
1623,225500.80329933885
1624,230495.93061590294
1625,108160.44070856096
